,sigla_uf,populacao_atendida_agua,indice_consumo_agua_per_capita
702,AL,32000,180.8
703,BA,33620,83.4
704,BA,152917,133.7
705,BA,5534,70.1
706,CE,58629,88.6
707,CE,49401,167.6
708,CE,3661,131.6
709,GO,68654,96.3
710,MA,17617,117.1
711,MG,2797,126.0
712,MG,29536,145.3
713,MG,17596,134.8
714,MG,3093,188.7
715,MG,25365,113.4
716,MG,7200,216.8
717,MG,1546,87.7
718,MG,5116,135.7
719,MG,3627,226.6
720,MG,5707,384.0
721,MG,17779,164.2
722,MG,135150,193.2
723,MG,10099,190.4
724,MG,2687,188.0
725,MG,3811,152.9
726,MS,3924,130.0
727,MT,24746,305.2
728,MT,80448,148.4
729,PB,26320,82.2
730,PB,3550,93.5
731,PE,12354,118.2
732,PE,9926,55.1
733,PR,21337,114.0
734,PR,4625,117.6
735,PR,9800,152.1
736,PR,12846,118.4
737,PR,18603,125.6
738,PR,7668,106.9
739,RJ,3322,144.3
740,RJ,109967,149.1
741,RN,6500,93.7
742,RN,14438,89.9
743,RR,6176,78.2
744,RS,42066,119.7
745,RS,2222,106.9
746,SC,25226,198.7
747,SC,1443,101.1
748,SC,251275,213.1
749,SC,7990,105.3
750,SC,2832,105.0
751,SP,2519,157.8
752,SP,118979,229.3
753,SP,4301,180.8
754,SP,44024,160.1
755,SP,1842,187.0
756,SP,37526,233.3
757,SP,6791,163.0
758,SP,4426,154.3
759,SP,288293,170.0
760,SP,8469,142.2
761,TO,50647,143.4
1511,AL,212864,85.3
1512,AL,49951,543.4
1513,AL,11353,65.8
1514,AM,17000,299.1
1515,BA,2938,96.2
1516,BA,129509,99.0
1517,BA,27229,125.0
1518,CE,23010,93.1
1519,CE,38946,102.2
1520,CE,18042,136.0
1521,DF,2788897,150.5
1522,ES,34353,155.0
1523,GO,95309,172.0
1524,MG,6920,165.4
1525,MG,7424,152.0
1526,MG,3548,247.2
1527,MG,228871,157.3
1528,MG,52141,229.1
1529,MG,63470,137.5
1530,MG,11531,145.3
1531,MG,4990,157.3
1532,MG,8982,141.5
1533,MG,2939,164.3
1534,MG,2194,124.2
1535,MG,3524,112.6
1536,MS,16920,159.5
1537,MT,17413,177.9
1538,MT,26893,145.8
1539,MT,46082,154.0
1540,PB,12683,98.0
1541,PE,524446,84.8
1542,PI,2178,97.1
1543,PR,2560,111.5
1544,PR,14008,101.8
1545,PR,8635,112.9
1546,PR,13243,143.3
1547,PR,21923,96.7
1548,PR,12357,549.4
1549,PR,17301,128.2
1550,RJ,80596,194.7
1551,RS,39075,123.9
1552,RS,9280,116.6
1553,RS,34494,111.8
1554,SC,12279,93.7
1555,SC,19746,103.1
1556,SE,95612,87.9
1557,SP,3936,183.7
1558,SP,112000,242.8
1559,SP,2731,144.3
1560,SP,25834,168.9
1561,SP,2493,145.6
1562,SP,19082,446.9
1563,SP,19857,148.8
1564,SP,18795,161.1
1565,TO,3608,117.8
2294,BA,47917,105.4
2295,BA,199809,162.8
2296,BA,10946,139.2
2297,CE,15213,134.8
2298,CE,7971,61.7
2299,GO,7572,133.3
2300,GO,3292,151.5
2301,MG,3887,167.9
2302,MG,5808,130.1
2303,MG,13319,133.6
2304,MG,16231,177.8
2305,MG,2464,146.5
2306,MG,7122,133.7
2307,MG,5156,187.8
2308,MG,3284,150.2
2309,MG,40080,147.3
2310,MG,31352,163.2
2311,MG,39256,140.1
2312,MG,23893,148.2
2313,MG,6676,164.2
2314,MT,45968,154.1
2315,PA,23426,101.9
2316,PB,833932,132.2
2317,PB,103165,113.9
2318,PB,34514,84.5
2319,PB,1699,77.9
2320,PE,125242,92.4
2321,PI,21337,102.3
2322,PI,158237,111.7
2323,PR,4401,192.1
2324,PR,45957,155.6
2325,PR,7188,124.0
2326,RJ,863804,77.7
2327,RN,8958,96.6
2328,RN,12731,100.7
2329,RN,1802,110.4
2330,RS,10203,117.1
2331,RS,62549,130.3
2332,SC,2223,152.1
2333,SP,5242,225.0
2334,SP,2906,308.1
2335,SP,7646,183.2
2336,SP,4995,278.4
2337,SP,8619,191.7
2338,SP,3052,160.0
2339,SP,2359,196.3
2340,SP,5747,154.3
2341,SP,7540,290.7
2342,SP,5677,204.2
2343,SP,885,212.6
3050,AL,6867,95.1
3051,BA,26476,119.3
3052,BA,17054,100.1
3053,BA,9874,109.2
3054,CE,59188,313.7
3055,ES,4598,144.4
3056,GO,33060,143.1
3057,MG,13820,117.4
3058,MG,7525,178.2
3059,MG,13530,192.2
3060,MG,5379,172.6
3061,MG,4811,134.8
3062,MG,1100,363.6
3063,MG,1216,317.7
3064,MG,9749,147.5
3065,MG,2060,185.3
3066,MG,4455,144.6
3067,MG,1520,288.4
3068,MG,6389,102.1
3069,MG,6821,99.2
3070,MS,14783,132.8
3071,MS,6489,107.7
3072,MT,650877,165.7
3073,PB,5261,80.3
3074,PB,19166,94.7
3075,PE,6679,2.0
3076,PI,61316,136.7
3077,PR,8709,127.5
3078,PR,11483,123.0
3079,PR,6110,142.7
3080,PR,11595,105.2
3081,PR,118455,299.6
3082,RJ,17517,72.9
3083,RN,11506,135.4
3084,RO,961,122.3
3085,RS,113671,161.0
3086,RS,57450,140.2
3087,SP,12957,163.4
3088,SP,55504,178.7
3089,SP,3167,160.7
3090,SP,5515,173.5
3091,SP,393237,137.8
3092,SP,77281,133.4
3093,SP,56868,189.9
3094,SP,2137,159.6
3095,SP,7785,534.9
3096,SP,7626,237.4
3097,SP,3420,193.9
3098,SP,15670,261.0
3832,BA,212376,153.3
3833,CE,6087,128.4
3834,CE,36625,81.5
3835,CE,17725,130.6
3836,CE,6686,185.8
3837,CE,16228,135.5
3838,ES,22575,139.2
3839,GO,10426,161.8
3840,MG,2920,282.5
3841,MG,4405,128.8
3842,MG,30471,175.9
3843,MG,3426,179.9
3844,MG,22811,163.6
3845,MG,1374,186.5
3846,MG,44802,159.3
3847,MG,89371,133.5
3848,MG,933,164.3
3849,MG,4836,113.8
3850,MG,17898,140.9
3851,MG,1683,144.0
3852,MG,32094,145.6
3853,MG,19977,159.0
3854,MG,9399,101.9
3855,MG,2111,166.8
3856,MG,77742,123.2
3857,MS,1428,141.7
3858,MS,30415,157.8
3859,MT,22170,140.6
3860,MT,264904,244.0
3861,PA,46035,104.3
3862,PA,107270,137.6
3863,PB,8325,79.4
3864,PE,4561,71.8
3865,PE,12684,150.2
3866,PI,7492,94.5
3867,PR,4791,164.8
3868,RJ,167127,89.5
3869,RN,3974,86.3
3870,RN,9661,84.0
3871,RS,373,143.0
3872,RS,324026,150.4
3873,RS,6458,159.0
3874,SC,5100,145.3
3875,SE,7442,73.2
3876,SP,17930,216.6
3877,SP,3419,120.5
3878,SP,55000,191.6
3879,SP,3138,133.5
3880,SP,3868,169.5
3881,SP,8992,168.6
3882,SP,3949,154.5
4611,AM,30249,216.5
4612,BA,2590,103.2
4613,BA,10298,103.0
4614,BA,65550,99.2
4615,BA,10546,94.3
4616,BA,360425,109.9
4617,CE,37887,120.1
4618,CE,2921,120.2
4619,ES,7341,128.5
